,0,1,2,3,4,penalty
18,0.37987089645373934,2.2348283610198534,9.552338232439073,4.8594138507493465,9.183298077360135,2.5918621472629217
20,0.5019570932453514,3.6864407801204324,9.694601773726749,3.3176489241858307,3.6617310232976985,3.162241858141488
14,0.3503665673648547,2.197954863630284,9.411101006508186,2.6508956079623958,6.855711076599771,3.5521793133007167
8,0.3215804513410114,0.7390222430437525,4.159616698674763,4.338753222821904,4.643938180491664,4.270632436147577
21,0.4547086442991274,2.5001050065760184,7.302931811345116,3.2616607218977745,4.135056486574216,4.822051526649961
22,0.3546038291623645,1.482528403472624,6.4128460103315295,2.8434834199716432,6.239089127555327,5.803374118234268
6,0.9126243715175033,7.402417644487309,7.4375806731770275,0.8581311872714332,3.516370648518586,6.431278449567559
0,0.5342485183817535,2.2348283610198534,5.921940769296125,5.49543470205912,2.507195232403953,6.707870769113284
4,0.7386945284834846,4.299314855508337,8.113912572168061,8.477837807767159,8.148757318781884,7.0992873384888115
24,0.5890383607308841,3.274705601156377,6.6296892964538605,1.9341079920029536,0.8458878820124962,7.696700289017742
5,0.36458729104344945,0.8164802531753104,4.01018705506702,5.410202881519211,8.006359284941007,7.730945771973092
10,0.48686255072970663,2.081604454737812,6.177073916640612,5.41463221406034,5.621206716123946,7.807105394745742
3,0.6839987077230134,3.9556461816077757,6.45669591783759,3.5076421903351918,5.591052166250383,8.196358997651046
13,0.8558117143704695,6.227411188665141,8.592537580626459,5.864019293953384,6.090694847868896,8.288190792658973
2,0.6724497396051518,5.537204137512532,9.872681976042319,2.639426797294168,6.9232534747955,8.349624393124204
1,0.2745329094834867,0.8895133437556781,7.799257115552992,5.723035113376684,6.2553941890144635,11.081625939161267
16,0.6578292373980998,0.9386063558512632,2.0904819808542987,2.8403839797458073,8.021382875431177,11.414604387683148
15,0.8263989114994955,4.023803819224866,4.294023222807651,0.25667677261448496,8.98950821890789,13.952347490141674
7,0.9647156848182326,4.0000949385474165,3.7802712027559764,0.6995413399537247,4.572937288266535,15.739733479646377
17,0.8788153988890759,4.158445569508185,4.874784558578738,3.6563650792098565,3.9286164810747937,16.073353464779295
11,0.517707084740239,3.5860967838176205,7.9109112214330715,0.3152499731096974,6.766288150058545,18.27359163101677
9,0.856456088997855,5.622327883717402,6.703540927093166,5.186103416664442,5.701916746463257,41.87659530690792
23,0.4631378355050981,2.4969307943222363,6.729510634728655,7.701409065247869,5.4796823359884,76.18141219016941
12,0.4295058187103855,1.9975249255932561,4.257036471354201,0.972487676289818,7.732728961802076,78.88294162488808
19,0.30820390898226535,2.303399943222345,9.169070065277685,3.3408510674587846,6.688579637188761,84.53209209061474
